Sexo;Estado;Cidade;Força;Posto Graduação;Possui Medalha de <br /> Mérito Desportivo Militar;Modalidade;Possui Bolsa Atleta;PAAR
Feminino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Pentatlo Moderno;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Pentatlo Militar;Não;Sim
Feminino;SP;Itu ;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Esgrima;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Sim;Tiro com Arco;Sim;Sim
Feminino;;;MB;Terceiro Sargento R/1;Não;Pentatlo Naval;Não;Sim
Masculino;;;EB;Soldado;Não;Futebol;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;DF;Brasilia ;EB;Terceiro Sargento;Não;Atletismo;Não;Sim
Masculino;RJ ;Rio de Janeiro ;EB;Soldado;Não;Pentatlo Moderno;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Masculino;;;EB;Soldado;Sim;Atletismo;Não;Sim
Masculino;;;EB;Soldado;Não;Pentatlo Moderno;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Primeiro Sargento;Sim;Pentatlo Naval;Não;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Vôlei;Não;Sim
Masculino;;;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Feminino;SP;Sorocaba;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;RS;PORTO ALEGRE;MB;Terceiro Sargento;Sim;Golfe;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Levantamento de Peso;Não;Sim
Feminino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
